Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x80ec5f812dbd891778ff8b6a4fe49e89ceb9579ad5524ae7fb3152ccaf80b7b8","Success","Swap Exact Tokens For Tokens","51123130","2024-09-29 00:06:52","0x42152bDD72dE8d6767FE3B4E17a221D6985E8B25","","0xe34207a261ff91eDf99282B1590cA7047296ED37","","4.527475443628479182","$132.84",""
"0xf4e6ae5843ec04602b9d97a6f63ac175749e278256f00c38966c14a03eb1929f","Success","0x8b04f947","51123129","2024-09-29 00:06:50","0x66A5dE11d1e1F20da825D974453f099C4Bb13647","","0x60132Cb83DC331fACb83a665352e1559e0EDCFE9","","122.765627069978356201","$3,602.07",""
"0xd028cff7c38a0c0fed18b04727009094c220fbbb41343744d55de9742c860edc","Success","0xaae42407","51123129","2024-09-29 00:06:50","0x856b38Bf1e2E367F747DD4d3951DDA8a35F1bF60","","0x802b65b5d9016621E66003aeD0b16615093f328b","","16.601986396076541838","$487.12",""
"0xceb30e9e4b25de5fc65cc9d5414df35986fe8afca451ffea26a8965f29c77c34","Success","Swap Exact Tokens For Tokens","51123126","2024-09-29 00:06:44","0x8F235a1fd3503b3E8f65c103bAa1Af907396726a","","0x962007C6d22b5D28ef916F21c8798d4d7F22f479","","0.582130919999999885","$17.08",""
"0xebc74ba617d4731386c5894707645f884e7fe5bae8596aab001f2a9a9d71194a","Success","Swap Exact NATIVE For Tokens","51123123","2024-09-29 00:06:38","0xb4315e873dBcf96Ffd0acd8EA43f689D8c20fB30","Trader Joe: LBRouter v2.1","0x1901011a39B11271578a1283D620373aBeD66faA","","1.691294064736730002","$49.62",""
"0xaa77b60b810fd04345e8e069aeeba3dfbdb2e833abfa8e546d1753e871046305","Success","0x8b04f947","51123123","2024-09-29 00:06:38","0xfAe3f424a0a47706811521E3ee268f00cFb5c45E","","0x60132Cb83DC331fACb83a665352e1559e0EDCFE9","","85.755738870954994288","$2,516.16",""
"0xf7db9de04e0bcd9a64230ede9c2e0806a551b9e4b735fcb08932d6905f315845","Success","0xa00597a0","51123120","2024-09-29 00:06:32","0x7b602f98D71715916E7c963f51bfEbC754aDE2d0","","0x802b65b5d9016621E66003aeD0b16615093f328b","","18.172367428037409322","$533.20",""
"0xbe46adaa6bf331120457e951db89915a839d6b9dd35d2dd173727ca41658199f","Success","0xa00597a0","51123120","2024-09-29 00:06:32","0x66A5dE11d1e1F20da825D974453f099C4Bb13647","","0x802b65b5d9016621E66003aeD0b16615093f328b","","108.582150517249595254","$3,185.91",""
"0xc85441ec7552974f12a4673e263e206207b2e53e18bfa605173eddd3016ac8ac","Success","0xa00597a0","51123120","2024-09-29 00:06:32","0xfAe3f424a0a47706811521E3ee268f00cFb5c45E","","0x802b65b5d9016621E66003aeD0b16615093f328b","","27.331706539994701075","$801.94",""
"0xda4c4664f7e95c00fde6546a3e6594c4d4ccfe53a8a8f2c0b849f3005cfa506d","Success","0x8b04f947","51123119","2024-09-29 00:06:30","0xfAe3f424a0a47706811521E3ee268f00cFb5c45E","","0x60132Cb83DC331fACb83a665352e1559e0EDCFE9","","29.631516632609102276","$869.42",""
"0x714b53f1b60ba2e13451c04de68cb0a6196bb59732fb8b2a1f5da6505092dffa","Success","0xa00597a0","51123118","2024-09-29 00:06:28","0xfAe3f424a0a47706811521E3ee268f00cFb5c45E","","0x802b65b5d9016621E66003aeD0b16615093f328b","","45.778213417962239502","$1,343.18",""
"0xbbb2abca0b41295e068ec54d834102fc21816485e2e828094d9ed6faba7c4770","Success","Remove Liquidity NATIVE","51123114","2024-09-29 00:06:16","0x9CA6D621A3b1b321BFd32B5EBaF5ad9fcF8C9e31","","0x18556DA13313f3532c54711497A8FedAC273220E","Trader Joe: LB Router v2.2","162.599353901952357479","$4,770.83",""
